text_file,error,A01,A02,A03
./data/processed/exercises/FGC1_I_E03.txt,"Este fenómeno ha sido percibido en el mundo entero, (dando lugar a millones de personas cautivadas) [cautivando a millones de personas]",Analysis,Substitution,Analysis
./data/processed/exercises/FGC1_I_E04.txt,Solo se habían producido diez pasos de la sombra de la Luna (sobre) [por delante de] la Tierra durante este siglo,Government,Government,Government
./data/processed/exercises/FGC1_I_E05.txt,(Este) [Ese] eclipse solar total comenzó,Substitution,Substitution,Substitution
./data/processed/exercises/FGC1_I_E06.txt,"Este fenómeno, que se produce al (transitar) [cubrir] la luna (por delante de) el sol",Analysis,Analysis,Substitution
./data/processed/exercises/FGC1_I_E07.txt,Los más afortunados pudieron vivir unos minutos sumergidos en la oscuridad más (total) [absoluta] en pleno día,Substitution,Substitution,Substitution
./data/processed/exercises/FGC1_I_E08.txt,este impresionante (espécimen) [fenómeno] celestial,Substitution,Substitution,Substitution
./data/processed/exercises/FGC1_I_E09.txt,Puede percibir las informaciones más (rápidas) [rápido],Substitution,Substitution,Substitution
./data/processed/exercises/FGC1_I_E10.txt,para (mi) [mí],Substitution,Substitution,Substitution
./data/processed/exercises/FGC1_I_E11.txt,En el programa radiofónico (se ha tratado de) [se han tratado] las ventajas cognitivas de los bilingües,Substitution,Substitution,Substitution
./data/processed/exercises/FGC1_I_E12.txt,"No solo porque estamos en un mundo multicultural, sino (que) también (para hacer trabajar el cerebro) [porque propicia que el cerebro trabaje]",Substitution,Substitution,Substitution
./data/processed/exercises/FGC1_I_E13.txt,(tardar) [retrasar] enfermedades,Substitution,Substitution,Substitution
./data/processed/exercises/FGC1_I_E14.txt,Me parece (coherente) [lógico] que,Substitution,Substitution,Substitution
./data/processed/exercises/FGC1_I_E15.txt,(pues) [así pues],Substitution,Substitution,Substitution
./data/processed/exercises/RCS1_I_E01.txt,una nueva flexibilidad y autonomía (ha) [han] mejorado,Number,Number,Number
./data/processed/exercises/RCS1_I_E02.txt,(adoptar) [encontrar] un equilibrio,Substitution,Substitution,Substitution
./data/processed/exercises/RCS1_I_E03.txt,(articulo) [artículo],Substitution,Substitution,Substitution
./data/processed/exercises/RCS1_I_E04.txt,¿(Sólo) [Solo] una tendencia o una nueva normalidad?,Creation,Creation,Creation
./data/processed/exercises/RCS1_I_E05.txt,implicaciones (éticos) [éticas],Gender,Gender,Gender
./data/processed/exercises/RCS1_I_E06.txt,avances (a la) [en] tecnología,Government,Government,Government
./data/processed/exercises/RCS1_I_E07.txt,(esta) [está] dedicada,Substitution,Substitution,Substitution
./data/processed/exercises/RCS1_I_E08.txt,"(También,) [Además, ] menciona los principios",Substitution,Substitution,Substitution
./data/processed/exercises/RCS1_I_E09.txt,(introduce) [implica] nuevos retos,Substitution,Substitution,Substitution
./data/processed/exercises/RCS1_I_E10.txt,A menudo (se) denominado teletrabajo,Pronoun,Pronoun,Pronoun
./data/processed/exercises/RCS1_I_E11.txt,(éticos médicas) [ética médica],Creation,Creation,Creation
./data/processed/exercises/RCS1_I_E12.txt,(producirá una regresión) [volverá],Analysis,Analysis,Analysis
./data/processed/exercises/RCS1_I_E13.txt,los retos y (limitantes) [limitaciones] de la pandemia,Substitution,Substitution,Substitution
./data/processed/exercises/RCS1_I_E14.txt,según (de) una encuesta,Government,Government,Government
./data/processed/exercises/RCS1_I_E15.txt,(violación) [filtración] de datos,Substitution,Substitution,Substitution
./data/processed/exercises/RUE1_I_E01.txt,"(También,) [Además, ]",Substitution,Substitution,Substitution
./data/processed/exercises/RUE1_I_E02.txt,problemas (de) [en] la relación,Government,Government,Government
./data/processed/exercises/RUE1_I_E03.txt,las tendencias (mostraron) [se detectaron] en ambos sexos,Substitution,Substitution,Substitution
./data/processed/exercises/RUE1_I_E04.txt,la intensidad y la cantidad de ejercicios (necesarias) [necesarios],Gender,Gender,Gender
./data/processed/exercises/RUE1_I_E05.txt,(uno de los críticos) [una de las críticas],Substitution,Substitution,Substitution
./data/processed/exercises/RUE1_I_E06.txt,una de las [mayores] críticas (mayores),Order,Order,Order
./data/processed/exercises/RUE1_I_E07.txt,las muchas (de) variables que pueden tener impacto,Government,Government,Government
./data/processed/exercises/RUE1_I_E08.txt,toda mi familia (son escoceses) [es escocesa],Number,Number,Number
./data/processed/exercises/RUE1_I_E09.txt,(auto declarados) [autodeclarados],Creation,Creation,Creation
./data/processed/exercises/RUE1_I_E10.txt,a un nivel mucho más alto [del] que puedo hablar,Government,Government,Ellipsis
./data/processed/exercises/RUE1_I_E11.txt,la mayor fuente de investigación (llega al) [proviene del] cuestionario,Substitution,Substitution,Substitution
./data/processed/exercises/RUE1_I_E12.txt,al finalizar (de) este periodo,Government,Government,Government
./data/processed/exercises/RUE1_I_E13.txt,manifestarse (en forma oral) [oralmente],Analysis,Analysis,Analysis
./data/processed/exercises/RUE1_I_E14.txt,reacciones (en persona) [cara a cara],Substitution,Substitution,Substitution
./data/processed/exercises/RUE1_I_E15.txt,países como (en) [los de] América Latina,Substitution,Government,Substitution
./data/processed/exercises/RGH1_I_E01.txt,"(También,) [Además, ]",Substitution,Substitution,Substitution
./data/processed/exercises/RGH1_I_E02.txt,artículo (llamada) [llamado],Gender,Gender,Gender
./data/processed/exercises/RGH1_I_E03.txt,(porque) [por qué],Substitution,Substitution,Substitution
./data/processed/exercises/RGH1_I_E04.txt,(está) [esta] decisión,Substitution,Substitution,Substitution
./data/processed/exercises/RGH1_I_E05.txt,(asi) [así] que,Creation,Creation,Creation
./data/processed/exercises/RGH1_I_E06.txt,nos permite (a) evaluar,Government,Government,Government
./data/processed/exercises/RGH1_I_E07.txt,mis estudios normalmente [se] enfocan,Pronoun,Pronoun,Pronoun
./data/processed/exercises/RGH1_I_E08.txt,(últimamente) [a fin de cuentas],Substitution,Substitution,Substitution
./data/processed/exercises/RGH1_I_E09.txt,(tambien) [también],Creation,Creation,Creation
./data/processed/exercises/RGH1_I_E10.txt,me (encanta) [encantan] las lenguas,Number,Number,Number
./data/processed/exercises/RGH1_I_E11.txt,(sentirse grasiento) [estar aceitoso],Substitution,Substitution,Substitution
./data/processed/exercises/RGH1_I_E12.txt,situaciones políticas (en) [de] todo el mundo,Government,Government,Government
./data/processed/exercises/RGH1_I_E13.txt,identificar las características de textos distintos y lo que los (hacen) [hace] diferentes,Number,Number,Number
./data/processed/exercises/RGH1_I_E14.txt,no he estudiado literatura (desde hace) [en] cinco años,Government,Substitution,Government
./data/processed/exercises/RGH1_I_E15.txt,(un) [una] parte,Substitution,Substitution,Substitution
./data/processed/exercises/FMH1_I_E01.txt,(ser tocados por) [ser víctimas de] un terremoto,Substitution,Substitution,Substitution
./data/processed/exercises/FMH1_I_E02.txt,(neurocientificos) [neurocientíficos],Creation,Creation,Creation
./data/processed/exercises/FMH1_I_E03.txt,dejar [de] temblar,Government,Government,Government
./data/processed/exercises/FMH1_I_E04.txt,(este) [ese] trágico mes de marzo del año 2011,Substitution,Substitution,Substitution
./data/processed/exercises/FMH1_I_E05.txt,a nivel [tanto] humano como material,Ellipsis,Ellipsis,Ellipsis
./data/processed/exercises/FMH1_I_E06.txt,la región (del) [de] Tohoku,Determination,Determination,Determination
./data/processed/exercises/FMH1_I_E07.txt,(estudió) [estudio],Substitution,Substitution,Substitution
./data/processed/exercises/FMH1_I_E08.txt,en la (áerea) [área] que está,Substitution,Substitution,Substitution
./data/processed/exercises/FMH1_I_E09.txt,el país tiene como desventaja (de) estar sujeto,Government,Government,Government
./data/processed/exercises/FMH1_I_E10.txt,destruyendo todo (en su camino) [a su paso],Substitution,Substitution,Substitution
./data/processed/exercises/FMH1_I_E11.txt,(mostrar) [demostrar],Substitution,Substitution,Substitution
./data/processed/exercises/FMH1_I_E12.txt,un equipo (dirigida) [dirigido],Gender,Gender,Gender
./data/processed/exercises/FMH1_I_E13.txt,(varias experiencias) [varios experimentos],Substitution,Substitution,Substitution
./data/processed/exercises/FMH1_I_E14.txt,enfermedades (neurologías) [neurológicas],Substitution,Substitution,Substitution
./data/processed/exercises/FMH1_I_E15.txt,(apareció) [se reveló],Substitution,Substitution,Substitution
./data/processed/exercises/RBI1_I_E01.txt,comer sano no solo (se trata de) [consiste en],Substitution,Substitution,Substitution
./data/processed/exercises/RBI1_I_E02.txt,se ha (descubrido) [descubierto],Creation,Creation,Creation
./data/processed/exercises/RBI1_I_E03.txt,(articulo) [artículo],Substitution,Substitution,Substitution
./data/processed/exercises/RBI1_I_E04.txt,estamos de acuerdo [en] que,Government,Government,Government
./data/processed/exercises/RBI1_I_E05.txt,tienen que (verificar) [consultar] dos bases de datos,Substitution,Substitution,Substitution
./data/processed/exercises/RBI1_I_E06.txt,lo jugué a (un) nivel profesional,Determination,Determination,Determination
./data/processed/exercises/RBI1_I_E07.txt,(me) he hecho muchos amigos,Pronoun,Pronoun,Pronoun
./data/processed/exercises/RBI1_I_E08.txt,(la orden) [el orden],Substitution,Substitution,Substitution
./data/processed/exercises/RBI1_I_E09.txt,(invaluable) [de valor incalculable],Synthesis,Synthesis,Synthesis
./data/processed/exercises/RBI1_I_E10.txt,(dia) [día],Creation,Creation,Creation
./data/processed/exercises/RBI1_I_E11.txt,hay veces (cuando) [en las que],Substitution,Substitution,Substitution
./data/processed/exercises/RBI1_I_E12.txt,(encontraran) [encontrarán],Substitution,Substitution,Substitution
./data/processed/exercises/RBI1_I_E13.txt,(el) [él],Substitution,Substitution,Substitution
./data/processed/exercises/RBI1_I_E14.txt,experimento (scientifico) [científico],Creation,Creation,Creation
./data/processed/exercises/RBI1_I_E15.txt,(sólo) [solo],Creation,Creation,Creation
./data/processed/exercises/RHK1_I_E01.txt,[tercera] persona (tercera),Order,Order,Order
./data/processed/exercises/RHK1_I_E02.txt,(poste) [publicación],Substitution,Substitution,Substitution
./data/processed/exercises/RHK1_I_E03.txt,(articulo) [artículo],Substitution,Substitution,Substitution
./data/processed/exercises/RHK1_I_E04.txt,(al primero) [en primer lugar],Substitution,Substitution,Substitution
./data/processed/exercises/RHK1_I_E05.txt,(medios) [redes] sociales,Substitution,Substitution,Substitution
./data/processed/exercises/RHK1_I_E06.txt,la información está (escrito) [escrita],Gender,Gender,Gender
./data/processed/exercises/RHK1_I_E07.txt,(dramáticamente) [drásticamente],Substitution,Substitution,Substitution
./data/processed/exercises/RHK1_I_E08.txt,(valorable) [valioso],Substitution,Substitution,Substitution
./data/processed/exercises/RHK1_I_E09.txt,(permitir voces) [dar voz a perspectivas],Creation,Substitution,Creation
./data/processed/exercises/RHK1_I_E10.txt,(especificas) [específicas],Substitution,Substitution,Substitution
./data/processed/exercises/RHK1_I_E11.txt,las dificultades [de] encontrar,Government,Government,Ellipsis
./data/processed/exercises/RHK1_I_E12.txt,estudios (sociólogos) [sociológicos],Substitution,Substitution,Substitution
./data/processed/exercises/RHK1_I_E13.txt,(soportar) [apoyar],Substitution,Substitution,Substitution
./data/processed/exercises/RHK1_I_E14.txt,(destinario) [destinatario],Creation,Creation,Creation
./data/processed/exercises/RHK1_I_E15.txt,(extensiva) [extensa],Substitution,Substitution,Substitution
./data/processed/exercises/IMA1_I_E01.txt,la educación (de) tanto [de] los niños como [de] los adolescentes,Order,Government,Government
./data/processed/exercises/IMA1_I_E02.txt,un nivel (donde) [con el que] puedo expresarme muy bien,Substitution,Substitution,Substitution
./data/processed/exercises/IMA1_I_E03.txt,(mientras que) [aunque],Substitution,Substitution,Substitution
./data/processed/exercises/IMA1_I_E04.txt,(porqué) [por qué],Substitution,Substitution,Substitution
./data/processed/exercises/IMA1_I_E05.txt,en (varios) [varias] formas,Gender,Gender,Gender
./data/processed/exercises/IMA1_I_E06.txt,(sólo) [solo],Creation,Creation,Creation
./data/processed/exercises/IMA1_I_E07.txt,estudiando (a) [en] Newcastle,Government,Government,Government
./data/processed/exercises/IMA1_I_E08.txt,permitiéndonos (a) ver,Government,Government,Government
./data/processed/exercises/IMA1_I_E09.txt,(es) [está] distorsionada,Substitution,Substitution,Substitution
./data/processed/exercises/IMA1_I_E10.txt,he (estudio) [estudiado],Substitution,Substitution,Substitution
./data/processed/exercises/IMA1_I_E11.txt,no es necesario demostrar que una novela es (correcto) [correcta] ni (revisado) [revisada] por pares ni (verificado) [verificada] / el uso está (relacionada) [relacionado],Gender,Gender,Gender
./data/processed/exercises/IMA1_I_E12.txt,(crimines) [crímenes],Substitution,Creation,Substitution
./data/processed/exercises/IMA1_I_E13.txt,en cuanto (el) [al] español,Government,Government,Government
./data/processed/exercises/IMA1_I_E14.txt,(el autor) [la autora],Gender,Gender,Gender
./data/processed/exercises/IMA1_I_E15.txt,¿Cuándo (deberíamos esperar tu llegada para) llegarás a la reunión?,Analysis,Analysis,Analysis
./data/processed/exercises/FEM1_I_E01.txt,(aumentación) [aumento],Substitution,Substitution,Substitution
./data/processed/exercises/FEM1_I_E02.txt,(reino) [mandato],Substitution,Substitution,Substitution
./data/processed/exercises/FEM1_I_E03.txt,(porque) [por qué],Substitution,Substitution,Substitution
./data/processed/exercises/FEM1_I_E04.txt,(crítica) [critica],Substitution,Substitution,Substitution
./data/processed/exercises/FEM1_I_E05.txt,(mientras que) [aunque] su punto de vista,Substitution,Substitution,Substitution
./data/processed/exercises/FEM1_I_E06.txt,la tasa más (fuerte) [elevada] / (pasar) [aprobar] una ley,Substitution,Substitution,Substitution
./data/processed/exercises/FEM1_I_E07.txt,"no es solamente esencial, (pero) [sino que] es también fundamental",Substitution,Substitution,Substitution
./data/processed/exercises/FEM1_I_E08.txt,(estar muy contestado) [tener una gran oposición] / (que falta de) [para la que faltan] tratamientos médicos,Substitution,Substitution,Substitution
./data/processed/exercises/FEM1_I_E09.txt,(hacer compromisos) [llegar a acuerdos] / (contestación) [confrontación],Substitution,Substitution,Substitution
./data/processed/exercises/FEM1_I_E10.txt,el artículo se enfoca (sobre) [en] la situación / es fundamental (a) [para] / nos falta (de) contexto,Government,Government,Government
./data/processed/exercises/FEM1_I_E11.txt,(màs en màs) [cada vez más] considerada,Creation,Creation,Substitution
./data/processed/exercises/FEM1_I_E12.txt,(pasarse) [ocurrir],Substitution,Substitution,Substitution
./data/processed/exercises/FEM1_I_E13.txt,en cuanto [a] su pertinencia,Government,Government,Ellipsis
./data/processed/exercises/FEM1_I_E14.txt,(sea) [esté] más impactado,Substitution,Substitution,Substitution
./data/processed/exercises/FEM1_I_E15.txt,sobre (reales) hechos científicos [reales],Order,Order,Order
./data/processed/exercises/RRN1_I_E01.txt,tomando en cuenta (sobre) las tres erres / es importante (de) tener en cuenta / tener en cuenta (de) que,Government,Government,Government
./data/processed/exercises/RRN1_I_E02.txt,(complejos) [complejidades],Substitution,Substitution,Substitution
./data/processed/exercises/RRN1_I_E03.txt,menciona (como) [cómo] es más económico / que (si) [sí] hay otras opciones / (uso) [usó] / (tenia) [tenía],Substitution,Substitution,Substitution
./data/processed/exercises/RRN1_I_E04.txt,ha (escrito) [descrito],Substitution,Substitution,Substitution
./data/processed/exercises/RRN1_I_E05.txt,la importancia [de] que debemos,Government,Government,Government
./data/processed/exercises/RRN1_I_E06.txt,(una) [un] artículo / ni tratan de usar (los) [las] alternativas / conocimiento (científica) [científico] / (un) [una] idea,Gender,Gender,Gender
./data/processed/exercises/RRN1_I_E07.txt,(formato en) [forma de] obtener,Substitution,Substitution,Substitution
./data/processed/exercises/RRN1_I_E08.txt,la mayoría de la gente nunca (piensan) [piensa],Number,Number,Number
./data/processed/exercises/RRN1_I_E09.txt,"dependen de grandes cantidades de datos para su (formación) [entrenamiento] / debemos (mover fuera) [superar] la idea del ""gold standard"" / solo (pegan a) [siguen] las normas / las normas que (saben) [conocen]",Substitution,Substitution,Substitution
./data/processed/exercises/RRN1_I_E10.txt,para que (se fueran) [sean] aceptables,Substitution,Substitution,Substitution
./data/processed/exercises/RRN1_I_E11.txt,entender su punto (directo) [directamente],Substitution,Substitution,Substitution
./data/processed/exercises/RRN1_I_E12.txt,la calificación que habrían (ganado) [obtenido],Substitution,Substitution,Substitution
./data/processed/exercises/RRN1_I_E13.txt,(soportar) [respaldar],Substitution,Substitution,Substitution
./data/processed/exercises/RRN1_I_E14.txt,sino [que] también,Ellipsis,Ellipsis,Ellipsis
./data/processed/exercises/RRN1_I_E15.txt,(resultas) [resultados] / (introduce) [presenta],Substitution,Substitution,Substitution
./data/processed/exercises/FKN1_I_E01.txt,(utilizó) [utilizo],Substitution,Substitution,Substitution
./data/processed/exercises/FKN1_I_E02.txt,"no solo se limita, sino [que] también",Ellipsis,Ellipsis,Ellipsis
./data/processed/exercises/FKN1_I_E03.txt,(los) [las] redes sociales,Gender,Gender,Gender
./data/processed/exercises/FKN1_I_E04.txt,(un) otro ángulo,Determination,Determination,Determination
./data/processed/exercises/FKN1_I_E05.txt,orígenes diferentes de (la suya) [los suyos],Gender,Gender,Gender
./data/processed/exercises/FKN1_I_E06.txt,otras personas (quien) [que] las acusan de,Pronoun,Substitution,Pronoun
./data/processed/exercises/FKN1_I_E07.txt,los diferentes problemas (debido) [debidos] a la desigualdad,Number,Number,Number
./data/processed/exercises/FKN1_I_E08.txt,datos (claves) [clave],Number,Number,Number
./data/processed/exercises/FKN1_I_E09.txt,es mucho (más) peor,Excess word,Excess word,Excess word
./data/processed/exercises/FKN1_I_E10.txt,no solamente es una cuestión de desigualdad sino (tampoco) [también] social,Substitution,Substitution,Substitution
./data/processed/exercises/FKN1_I_E11.txt,(realizar) [darse cuenta de] la urgencia del problema,Substitution,Substitution,Synthesis
./data/processed/exercises/FKN1_I_E12.txt,es importante que las organizaciones de voluntariado (deben trabajar) [trabajen],Analysis,Analysis,Analysis
./data/processed/exercises/FKN1_I_E13.txt,sus viajes de voluntariado en (la cual) [los cuales],Pronoun,Pronoun,Pronoun
./data/processed/exercises/FKN1_I_E14.txt,el 10% más rico tiene [el] 47% de los ingresos,Determination,Determination,Determination
./data/processed/exercises/FKN1_I_E15.txt,otras etnias (en) [de] la región,Government,Government,Government
./data/processed/exercises/RCO1_I_E01.txt,la infancia de un niño de hoy es (tan) [muy] diferente de la nuestra / un aspecto (tan) [muy] importante,Substitution,Substitution,Substitution
./data/processed/exercises/RCO1_I_E02.txt,esos niños (fueron nacidos) [nacieron],Analysis,Analysis,Analysis
./data/processed/exercises/RCO1_I_E03.txt,incluyen [tanto] los físicos (tanto) como los psicológicos,Order,Order,Order
./data/processed/exercises/RCO1_I_E04.txt,"(También, ) [Además, ]",Substitution,Substitution,Substitution
./data/processed/exercises/RCO1_I_E05.txt,tenemos en cuenta (de) que,Government,Government,Government
./data/processed/exercises/RCO1_I_E06.txt,para (mi) [mí],Substitution,Substitution,Substitution
./data/processed/exercises/RCO1_I_E07.txt,(papel) [artículo] / (introducen) [presentan],Substitution,Substitution,Substitution
./data/processed/exercises/RCO1_I_E08.txt,(es) [está] bien escrito,Substitution,Substitution,Substitution
./data/processed/exercises/RCO1_I_E09.txt,(introduccion) [introducción] / (informacion) [información],Creation,Creation,Creation
./data/processed/exercises/RCO1_I_E10.txt,"y, (porque) [dado que] los exámenes son difíciles, mucha gente suspende",Substitution,Substitution,Substitution
./data/processed/exercises/RCO1_I_E11.txt,la infancia de un niño de hoy es muy diferente (como la de nosotros) [de la nuestra],Government,Government,Substitution
./data/processed/exercises/RCO1_I_E12.txt,dado el hecho [de] que,Government,Government,Government
./data/processed/exercises/RCO1_I_E13.txt,la investigación (en) [sobre] pantallas / las pantallas (de) [para] niños / las aficiones (para) [de] los niños,Government,Government,Government
./data/processed/exercises/RCO1_I_E14.txt,la incapacidad para (deducir) [reconocer] noticias falsas,Substitution,Substitution,Substitution
./data/processed/exercises/RCO1_I_E15.txt,"hay muchos accidentes, (que demuestran) [lo que demuestra]",Pronoun,Pronoun,Pronoun
./data/processed/exercises/FLR1_I_E01.txt,palabras (claves) [clave],Number,Number,Number
./data/processed/exercises/FLR1_I_E02.txt,creadas (por) [para] sensibilizar,Government,Government,Government
./data/processed/exercises/FLR1_I_E03.txt,(cambiara) [cambiará],Substitution,Substitution,Substitution
./data/processed/exercises/FLR1_I_E04.txt,(número) [tasa],Substitution,Substitution,Substitution
./data/processed/exercises/FLR1_I_E05.txt,(permiso de nacimiento) [baja por maternidad],Creation,Substitution,Substitution
./data/processed/exercises/FLR1_I_E06.txt,logramos (a) reducir / sensibilizar [a] la población,Government,Government,Government
./data/processed/exercises/FLR1_I_E07.txt,(reconocimiento de fecundidad) [control de fertilidad],Creation,Creation,Creation
./data/processed/exercises/FLR1_I_E08.txt,(aumentación) [aumento],Substitution,Substitution,Substitution
./data/processed/exercises/FLR1_I_E09.txt,estar (seguro) [claro],Substitution,Substitution,Substitution
./data/processed/exercises/FLR1_I_E10.txt,actuar (de manera considerable) [con consideración],Substitution,Substitution,Substitution
./data/processed/exercises/FLR1_I_E11.txt,la capacidad (a) [de] actuar,Government,Government,Government
./data/processed/exercises/FLR1_I_E12.txt,(apoyar) [respaldar],Substitution,Substitution,Substitution
./data/processed/exercises/FLR1_I_E13.txt,ser (quitado) [arrebatado],Substitution,Substitution,Substitution
./data/processed/exercises/FLR1_I_E14.txt,como (lo) dice,Pronoun,Pronoun,Pronoun
./data/processed/exercises/FLR1_I_E15.txt,influir (a su nivel) [dentro de sus posibilidades],Substitution,Substitution,Substitution
./data/processed/exercises/FTR1_I_E01.txt,sensibilizar [a] la población,Government,Government,Government
./data/processed/exercises/FTR1_I_E02.txt,(super diferentes) [superdiferentes],Creation,Creation,Creation
./data/processed/exercises/FTR1_I_E03.txt,palabras (claves) [clave],Number,Number,Number
./data/processed/exercises/FTR1_I_E04.txt,(exprimir) [explicar],Substitution,Substitution,Substitution
./data/processed/exercises/FTR1_I_E05.txt,un tema sensible y poco (inesperada) [inesperado] / (la pequeña) [el pequeño] video (incluida) [incluido],Gender,Gender,Gender
./data/processed/exercises/FTR1_I_E06.txt,(si) [sí] / (vinculo) [vínculo] / (como) [cómo] los personajes / (critica) [crítica],Substitution,Substitution,Substitution
./data/processed/exercises/FTR1_I_E07.txt,(del) [de lo] primitivo y (del) [de lo] eterno,Determination,Determination,Determination
./data/processed/exercises/FTR1_I_E08.txt,"en la vida me (gusta) [gustan] la moda, la fotografía, los deportes y los viajes",Number,Number,Number
./data/processed/exercises/FTR1_I_E09.txt,tengo (una) cierta facilidad para expresarme / la misma línea psicológica (con) [que] el estilo,Creation,Creation,Creation
./data/processed/exercises/FTR1_I_E10.txt,es necesario (de) releerlo bien / referencias (en) [a] los clásicos / la relación del individuo (a) [con] el universo,Government,Government,Government
./data/processed/exercises/FTR1_I_E11.txt,(son) [están] vinculados,Substitution,Substitution,Substitution
./data/processed/exercises/FTR1_I_E12.txt,(vigilar) [cuidar],Substitution,Substitution,Substitution
./data/processed/exercises/FTR1_I_E13.txt,(relevar) [revelar],Substitution,Substitution,Substitution
./data/processed/exercises/FTR1_I_E14.txt,así [que] es,Ellipsis,Ellipsis,Ellipsis
./data/processed/exercises/FTR1_I_E15.txt,(similaritud) [similitud],Creation,Creation,Creation
./data/processed/exercises/FCY1_I_E01.txt,era (del numérico) [digital] / (utilizador) [usuario],Creation,Creation,Creation
./data/processed/exercises/FCY1_I_E02.txt,asegurarse [de] que,Government,Government,Government
./data/processed/exercises/FCY1_I_E03.txt,(llenar) [cubrir] la demanda,Substitution,Substitution,Substitution
./data/processed/exercises/FCY1_I_E04.txt,(bajo) [por debajo] de / pasatiempos (en) [al] aire libre,Government,Government,Government
./data/processed/exercises/FCY1_I_E05.txt,como (le) [lo] hemos visto antes,Pronoun,Pronoun,Pronoun
./data/processed/exercises/FCY1_I_E06.txt,es importante (de) tener en cuenta que,Government,Government,Government
./data/processed/exercises/FCY1_I_E07.txt,(faltan) [escasean],Substitution,Substitution,Substitution
./data/processed/exercises/FCY1_I_E08.txt,reemplazarán (el) [lo] humano / (el) [lo] natural es vernos,Determination,Determination,Determination
./data/processed/exercises/FCY1_I_E09.txt,(jovenes) [jóvenes],Creation,Creation,Creation
./data/processed/exercises/FCY1_I_E10.txt,(el médico) [la medicina],Substitution,Substitution,Substitution
./data/processed/exercises/FCY1_I_E11.txt,las (buenas y las malas) [ventajas y las] desventajas,Analysis,Substitution,Analysis
./data/processed/exercises/FCY1_I_E12.txt,Pellicer (desarrolla en) [argumenta] que la inteligencia artificial sería buena,Substitution,Substitution,Substitution
./data/processed/exercises/FCY1_I_E13.txt,mala (habitud) [costumbre],Substitution,Substitution,Substitution
./data/processed/exercises/FCY1_I_E14.txt,así como (al fuera) [fuera] de este,Creation,Creation,Creation
./data/processed/exercises/FCY1_I_E15.txt,ámbitos (del cotidiano) [de la vida cotidiana],Substitution,Substitution,Substitution
./data/processed/exercises/FGC2_S_E01.txt,Mi hermano nació en 2004 y (él) es una persona importante en mi vida,Pronoun,Pronoun,Pronoun
./data/processed/exercises/FGC2_S_E02.txt,"Empecé a jugar al fútbol en 2007, en un equipo local, fue muy (rápido) [pronto]",Substitution,Substitution,Substitution
./data/processed/exercises/FGC2_S_E03.txt,la copa de (europa) [Europa],Creation,Creation,Creation
./data/processed/exercises/FGC2_S_E04.txt,(Ese año en otoño) [En el otoño de ese año] empecé la escuela,Order,Substitution,Order
./data/processed/exercises/FGC2_S_E05.txt,Mi abuela (estaba) [se puso] muy triste,Substitution,Substitution,Substitution
./data/processed/exercises/FGC2_S_E06.txt,(miré) [vi] este partido por la (televisión) [tele],Substitution,Substitution,Substitution
