term,mean_a,q5_a,q95_a,mean_b,q5_b,q95_b,delta_mean,or_a,or_b,delta_or,same_sign,a_excludes_zero,b_excludes_zero,changed_support,model_a,model_b
fmt_prompted_writing,0.840597999719475,0.320018257,1.3623288499999997,0.790458283256325,0.18890091150000002,1.3984692599999995,-0.050139716463150075,2.317752577836638,2.2044064373630485,-0.1133461404735896,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
goal_productive_use_of_targets,0.10657728519260624,-0.3565196335,0.5875213864999999,0.1536004766423525,-0.34688328949999997,0.6551083329999996,0.047023191449746246,1.1124639001101837,1.1660249395072955,0.053561039397111765,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
prof_level4,0.805831603267725,0.388384744,1.22792632,0.7648304511317999,0.300242697,1.2278777899999995,-0.041001152135925034,2.238557316561132,2.148630045977859,-0.08992727058327299,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
fmt_sentence_reconstruction,1.428362493464175,0.5159579280000002,2.3174900199999997,1.39399698732225,0.41462416900000004,2.371111365,-0.03436550614192502,4.171862144068253,4.030929470964708,-0.14093267310354562,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
goal_conceptual_organization,0.724486460567645,-0.06545109634999999,1.537003695,0.693207253081627,-0.21825351649999997,1.6236054349999995,-0.03127920748601798,2.0636710513411254,2.0001201486521434,-0.063550902688982,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
fmt_accent_marking_and_read_aloud,1.30667016551985,0.23448855300000002,2.408273124999999,1.337685995385625,0.211073015,2.47883292,0.031015829865775002,3.6938532910592943,3.8102164379485846,0.11636314688929028,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
ti_il_z,-0.027251373162102504,-0.254811876,0.20238470999999997,-0.053795601857882694,-0.2871462245,0.17991257249999973,-0.02654422869578019,0.9731165953812123,0.9476257796566918,-0.0254908157245205,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
POS1_post_sc,0.96112289089175,0.33372570500000004,1.5993602499999986,0.980179846424675,0.3706078025,1.616975875,0.01905695553292508,2.6146307707446907,2.664935477951382,0.05030470720669111,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
time1,0.04006961205020025,-0.13302915999999998,0.21882713,0.02188803016584675,-0.1897190865,0.2299061894999999,-0.018181581884353502,1.0408832296861088,1.0221293304112475,-0.018753899274861263,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
POS2_post_sc,-1.023960822708675,-1.69842084,-0.35672980600000026,-1.041949757061785,-1.70523938,-0.4030971910000009,-0.01798893435311011,0.35916951234239086,0.35276620259846486,-0.006403309743926,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
Total_ex_sc,-0.124528272381093,-0.329290549,0.08351890964999982,-0.14076604351698324,-0.3577915185,0.07426738194999999,-0.01623777113589024,0.8829132989522563,0.8686925241730814,-0.014220774779174938,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
fmt_text_editing,2.452162968034,1.2286374049999997,3.6975427499999998,2.467926370787225,1.225026,3.7739844099999993,0.015763402753225186,11.61343906993749,11.797956880823214,0.1845178108857244,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
Soph_ex_sc,-0.012456584635240504,-0.151419355,0.12855124699999995,-0.0252499167440691,-0.1746078165,0.12139835149999997,-0.012793332108828595,0.9876206774750714,0.9750661962062611,-0.012554481268810314,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
POS2_ex_sc,-0.030718765249325,-0.21259484150000002,0.15222646449999994,-0.0432804078314905,-0.23120306699999998,0.14531630049999988,-0.012561642582165501,0.9697482616400583,0.9576428218674549,-0.012105439772603477,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
prof_level2,-0.03442698358738251,-0.5683549005,0.5044979664999998,-0.026611685542948012,-0.6109435215,0.569427695,0.0078152980444345,0.9661588825666898,0.9737392851615092,0.007580402594819402,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
LexDiv_post_sc,-0.08267946276717125,-0.2347734685,0.06849685249999969,-0.08862840449942375,-0.24317460999999999,0.06751504409999984,-0.005948941732252494,0.9206462013154708,0.9151855892435482,-0.00546061207192261,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
fmt_discrete_choice,0.83234418682305,0.17682769450000002,1.4977200999999998,0.8376478368614549,0.172353309,1.531241385,0.005303650038404939,2.2987010138989024,2.310924906590513,0.012223892691610505,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
goal_paraphrastic_flexibility,-1.86620914839985,-3.0044760549999996,-0.7422776390000003,-1.861205282673,-3.078943355,-0.6900965740000006,0.005003865726850076,0.15470903056717344,0.15548511387184683,7.760833046733806e-4,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
goal_meaning_and_sense_elaboration,-0.7353272283674,-1.413542335,-0.09336423330000022,-0.7313143022497726,-1.47799032,-0.0019373096350000763,0.004012926117627491,0.479348576855934,0.48127603206053626,0.0019274552046022464,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
Tree_post_sc,0.18778768659523476,0.009063043380000005,0.370487166,0.1912886823754735,0.010174497055000004,0.37584429249999995,0.0035009957802387415,1.206577315615258,1.2108089408345353,0.004231625219277335,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
fmt_syntagmatic_systematization,0.5651736547695375,-0.784511569,1.8928532149999995,0.568507449376595,-0.819674861,1.9519864,0.0033337946070575164,1.7597533457515078,1.7656297919549977,0.005876446203489927,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
Total_post_sc,-0.2317999886018925,-0.44228433349999996,-0.02426122590000011,-0.2350394053346,-0.443082354,-0.030841097250000168,-0.0032394167327075007,0.7931047374312178,0.7905396975336644,-0.0025650398975534117,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
POS1_ex_sc,-0.09171305160924224,-0.267581992,0.07943841764999998,-0.0899384488719616,-0.264340391,0.08766372139999992,0.0017746027372806394,0.912366914204632,0.9139874404978997,0.001620526293267699,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
Tree_ex_sc,-0.341876348414525,-0.5469130205,-0.1439598845,-0.3403322993792375,-0.5520722590000001,-0.14335602800000002,0.0015440490352875424,0.7104360458216633,0.7115338412197071,0.0010977953980437771,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
Soph_post_sc,-0.051924340833379254,-0.226953636,0.12086839049999992,-0.05339210871462125,-0.2235882595,0.11529284599999998,-0.0014677678812419978,0.9494006949909986,0.9480082173114581,-0.001392477679540427,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
prof_level3,-0.480069657021347,-1.0765043349999999,0.11804812399999978,-0.4812963797803,-1.1114768899999998,0.14803581249999997,-0.0012267227589529694,0.6187402906993734,0.6179817332678501,-7.585574315233101e-4,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
fmt_translation,1.7265644233615,0.9143930644999999,2.570739385,1.7277508165315,0.865721482,2.5975607,0.0011863931700000219,5.621308260391242,5.627981299759291,0.006673039368049416,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
LexDiv_ex_sc,-0.04413404354583358,-0.202182801,0.11492973799999996,-0.044389553572111,-0.20258419049999998,0.11277395999999998,-2.5551002627742514e-4,0.9568256925681209,0.9565812452409713,-2.444473271495662e-4,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
